method,prompt_index,prompt_length_group,word_count,prompt,image_path,selected_steps,selected_guidance_scale,height,width,elapsed_seconds,peak_vram_gb,is_first_prompt,clip_cosine,clip_score
fixed_20,1,10_words,10,red apple resting on wooden table under soft studio light,outputs\day2_baseline_20steps\01_red_apple_resting_on_wooden_table_under_soft_studio_light.png,20,4.5,512,512,3.4622415999983787,6.979499816894531,True,0.3294485807418823,32.94485807418823
fixed_20,2,10_words,10,golden retriever sitting on grass beside a white garden ball,outputs\day2_baseline_20steps\02_golden_retriever_sitting_on_grass_beside_a_white_garden_ball.png,20,4.5,512,512,2.528928100000485,6.979499816894531,False,0.3724573254585266,37.24573254585266
fixed_20,3,10_words,10,blue sports car parked on empty road at bright noon,outputs\day2_baseline_20steps\03_blue_sports_car_parked_on_empty_road_at_bright_noon.png,20,4.5,512,512,1.7974489000043832,6.979499816894531,False,0.29935193061828613,29.935193061828613
fixed_20,4,10_words,10,white ceramic mug steaming on kitchen counter near morning window,outputs\day2_baseline_20steps\04_white_ceramic_mug_steaming_on_kitchen_counter_near_morning_windo.png,20,4.5,512,512,1.089031100003922,6.979499816894531,False,0.35949692130088806,35.949692130088806
fixed_20,5,10_words,10,sunflower standing in clear glass vase beside folded linen napkin,outputs\day2_baseline_20steps\05_sunflower_standing_in_clear_glass_vase_beside_folded_linen_napki.png,20,4.5,512,512,1.0580951000010828,6.979499816894531,False,0.3649657964706421,36.49657964706421
fixed_20,6,10_words,10,black bicycle leaning against brick wall after summer rain quietly,outputs\day2_baseline_20steps\06_black_bicycle_leaning_against_brick_wall_after_summer_rain_quiet.png,20,4.5,512,512,1.0552567000049748,6.979499816894531,False,0.3188818097114563,31.88818097114563
fixed_20,7,10_words,10,chocolate cake slice on porcelain plate with silver fork nearby,outputs\day2_baseline_20steps\07_chocolate_cake_slice_on_porcelain_plate_with_silver_fork_nearby.png,20,4.5,512,512,1.9891731000025175,6.979499816894531,False,0.3128839433193207,31.288394331932068
fixed_20,8,10_words,10,green backpack hanging from classroom chair under fluorescent lights quietly,outputs\day2_baseline_20steps\08_green_backpack_hanging_from_classroom_chair_under_fluorescent_li.png,20,4.5,512,512,2.2917966000022716,6.979499816894531,False,0.381231427192688,38.1231427192688
fixed_20,9,10_words,10,white sailboat drifting across calm lake during golden sunset alone,outputs\day2_baseline_20steps\09_white_sailboat_drifting_across_calm_lake_during_golden_sunset_al.png,20,4.5,512,512,1.2606655999989016,6.979499816894531,False,0.3444634974002838,34.44634974002838
fixed_20,10,10_words,10,red sneakers placed on concrete floor beside gym lockers neatly,outputs\day2_baseline_20steps\10_red_sneakers_placed_on_concrete_floor_beside_gym_lockers_neatly.png,20,4.5,512,512,1.3224675999954343,6.979499816894531,False,0.3504387438297272,35.04387438297272
fixed_20,11,30_words,30,"A robot chef cooks pasta in a modern kitchen, steam rising from the pan, stainless tools hanging nearby, warm cinematic lighting, and a curious child watching from the doorway quietly.",outputs\day2_baseline_20steps\11_a_robot_chef_cooks_pasta_in_a_modern_kitchen_steam_rising_from_t.png,20,4.5,512,512,1.2699444999961997,6.979499816894531,False,0.39259523153305054,39.259523153305054
fixed_20,12,30_words,30,"A cozy bedroom glows with warm sunset light through a large window, with folded blankets, potted plants, framed photos, and a small desk ready for reading beside tea and pencils.",outputs\day2_baseline_20steps\12_a_cozy_bedroom_glows_with_warm_sunset_light_through_a_large_wind.png,20,4.5,512,512,1.2430377999990014,6.979499816894531,False,0.392966628074646,39.2966628074646
fixed_20,13,30_words,30,"A futuristic train station has glass walls, hovering signs, morning sunlight, travelers waiting on silver benches, and a sleek maglev train arriving beside platform seven with soft blue interior lights.",outputs\day2_baseline_20steps\13_a_futuristic_train_station_has_glass_walls_hovering_signs_mornin.png,20,4.5,512,512,1.3183635999957914,6.979499816894531,False,0.3191719055175781,31.917190551757812
fixed_20,14,30_words,30,"A young astronaut plants a flag on a colorful alien planet, while crystal rocks, purple grass, two moons, and a tiny rover fill the background under pale green evening clouds.",outputs\day2_baseline_20steps\14_a_young_astronaut_plants_a_flag_on_a_colorful_alien_planet_while.png,20,4.5,512,512,1.14731159999792,6.979499816894531,False,0.37640994787216187,37.64099478721619
fixed_20,15,30_words,30,"A vintage camera rests on a wooden desk surrounded by travel postcards, brass coins, a notebook, warm lamplight, and an open map of Europe beside a half packed canvas bag.",outputs\day2_baseline_20steps\15_a_vintage_camera_rests_on_a_wooden_desk_surrounded_by_travel_pos.png,20,4.5,512,512,1.2532463000025018,6.979499816894531,False,0.37610936164855957,37.61093616485596
fixed_20,16,30_words,30,"A small cafe corner holds leafy plants, stacked books, a blue armchair, soft afternoon light, and a steaming cup of coffee beside a handwritten menu on the narrow wooden table.",outputs\day2_baseline_20steps\16_a_small_cafe_corner_holds_leafy_plants_stacked_books_a_blue_armc.png,20,4.5,512,512,1.279323499999009,6.979499816894531,False,0.3859372138977051,38.59372138977051
fixed_20,17,30_words,30,"A watercolor painting shows a mountain village beside a river, with stone bridges, red roofs, distant mist, pine trees, and tiny people walking home under a pale evening sky together.",outputs\day2_baseline_20steps\17_a_watercolor_painting_shows_a_mountain_village_beside_a_river_wi.png,20,4.5,512,512,1.2841565999988234,6.979499816894531,False,0.35388925671577454,35.388925671577454
fixed_20,18,30_words,30,"A fantasy library rises around a spiral staircase, with floating candles, glowing books, brass ladders, velvet chairs, and a cat sleeping beneath the desk near a blue magical globe quietly.",outputs\day2_baseline_20steps\18_a_fantasy_library_rises_around_a_spiral_staircase_with_floating_.png,20,4.5,512,512,1.291466999995464,6.979499816894531,False,0.3857991695404053,38.57991695404053
fixed_20,19,30_words,30,"A rainy city street reflects shop windows and traffic lights, while pedestrians carry umbrellas past bicycles, food stalls, neon signs, and puddles glowing orange under a dark cinematic evening sky.",outputs\day2_baseline_20steps\19_a_rainy_city_street_reflects_shop_windows_and_traffic_lights_whi.png,20,4.5,512,512,2.4787364000003436,6.979499816894531,False,0.35823506116867065,35.823506116867065
fixed_20,20,30_words,30,"A wooden cabin sits in a snowy forest, smoke rising from the chimney, warm windows glowing, pine branches bending, and footprints crossing the yard toward a small frozen pond nearby.",outputs\day2_baseline_20steps\20_a_wooden_cabin_sits_in_a_snowy_forest_smoke_rising_from_the_chim.png,20,4.5,512,512,3.234401199995773,6.979499816894531,False,0.32029274106025696,32.029274106025696
fixed_20,21,50_words,50,"A small robot holds a red umbrella beside a striped cat in front of a rainy bookstore, while the window sign says SANA, puddles reflect yellow lamps, two bicycles lean nearby, and a delivery drone hovers above the narrow street as shoppers wait under awnings during a gentle evening storm.",outputs\day2_baseline_20steps\21_a_small_robot_holds_a_red_umbrella_beside_a_striped_cat_in_front.png,20,4.5,512,512,1.123535599996103,6.979499816894531,False,0.394730806350708,39.4730806350708
fixed_20,22,50_words,50,"A cyberpunk street market glows at midnight with crowded food stalls, neon kanji signs, rain reflections, masked shoppers, steam vents, hovering taxis, and a musician playing beside a noodle cart, while a child points at a holographic dragon above the wet plaza near a flickering red vending machine tonight outside.",outputs\day2_baseline_20steps\22_a_cyberpunk_street_market_glows_at_midnight_with_crowded_food_st.png,20,4.5,512,512,1.6777871000012965,6.979499816894531,False,0.37343329191207886,37.343329191207886
fixed_20,23,50_words,50,"A medieval wizard teaches three students inside a crowded library, with glowing books floating above an oak table, candles dripping wax, a raven watching from a shelf, maps pinned to stone walls, and a silver telescope aimed at moonlight through the tall arched window behind a stack of scrolls tonight.",outputs\day2_baseline_20steps\23_a_medieval_wizard_teaches_three_students_inside_a_crowded_librar.png,20,4.5,512,512,1.7814786000017193,6.979499816894531,False,0.34762245416641235,34.762245416641235
