prompt_index,prompt,word_count,content_word_count,comma_count,object_count,attribute_count,relation_count,spatial_relation_count,action_count,style_constraint_count,text_rendering_flag,scene_density_score,rare_concept_score,lexical_complexity_score,rule_complexity_score,reference_steps,reference_clip_score,clip_tolerance,clip_threshold,minimal_sufficient_steps,minimal_clip_score,minimal_clip_delta_vs_fixed20,minimal_elapsed_seconds,fixed20_elapsed_seconds,time_saving_seconds_vs_fixed20,quality_constraint_satisfied,clip_score_s8,elapsed_seconds_s8,clip_score_s12,elapsed_seconds_s12,clip_score_s16,elapsed_seconds_s16,clip_score_s20,elapsed_seconds_s20,clip_score_s24,elapsed_seconds_s24,clip_score_s28,elapsed_seconds_s28
1,red apple resting on wooden table under soft studio light,10,8,0,2,3,1,1,0,2,0,0.4166666666666667,0.0,0.1955555555555556,0.2642777777777778,20,32.94485807418823,0.2,32.74485807418823,16,32.840096950531006,-0.10476112365722656,1.7249726000009105,2.0615652999986196,0.33659269999770913,True,32.3805958032608,4.0067232999936095,32.732972502708435,1.5162320999952499,32.840096950531006,1.7249726000009105,32.94485807418823,2.0615652999986196,32.928627729415894,2.4033401000051526,32.952794432640076,2.713299700000789
2,golden retriever sitting on grass beside a white garden ball,10,8,0,2,2,2,1,1,0,0,0.2777777777777778,0.0,0.1955555555555556,0.18788888888888888,20,37.24573254585266,0.2,37.04573254585266,8,37.46127486228943,0.21554231643676758,0.9640432000014698,1.8161076999967918,0.852064499995322,True,37.46127486228943,0.9640432000014698,37.35942244529724,1.3501570000007632,37.59545683860779,1.5844159000043874,37.24573254585266,1.8161076999967918,36.935603618621826,2.0395161000051303,37.27535009384155,2.4267978000061703
3,blue sports car parked on empty road at bright noon,10,8,0,2,3,0,0,0,0,0,0.19444444444444445,0.0,0.1955555555555556,0.11705555555555555,20,29.935193061828613,0.2,29.735193061828614,8,30.499085783958435,0.5638927221298218,0.9864356000034604,1.8941571999966982,0.9077215999932378,True,30.499085783958435,0.9864356000034604,29.910188913345337,1.3150380999941262,29.506394267082214,1.5158047000004444,29.935193061828613,1.8941571999966982,29.953497648239136,2.2928565999973216,30.043253302574158,2.6205371000032756
4,white ceramic mug steaming on kitchen counter near morning window,10,8,0,4,1,1,1,0,0,0,0.3055555555555556,0.0,0.1955555555555556,0.16983333333333334,20,35.949692130088806,0.2,35.7496921300888,16,36.020272970199585,0.07058084011077881,1.6486433999962173,1.9096502000029432,0.2610068000067258,True,34.45635437965393,1.0572127999985241,34.68782901763916,1.330354499994428,36.020272970199585,1.6486433999962173,35.949692130088806,1.9096502000029432,36.02510690689087,2.2590483000021777,36.134323477745056,2.538292500001262
5,sunflower standing in clear glass vase beside folded linen napkin,10,9,0,2,3,1,1,0,0,0,0.25,0.0,0.20000000000000004,0.1575,20,36.49657964706421,0.2,36.296579647064206,8,37.694743275642395,1.198163628578186,1.0546934999947553,1.9697532999998657,0.9150598000051104,True,37.694743275642395,1.0546934999947553,37.17060685157776,1.3540376000019023,36.05312705039978,1.7670789999974659,36.49657964706421,1.9697532999998657,36.405158042907715,2.2325471000003745,36.65505051612854,2.5317600999987917
6,black bicycle leaning against brick wall after summer rain quietly,10,10,0,3,1,1,0,1,0,0,0.25,0.0,0.20444444444444448,0.15905555555555556,20,31.88818097114563,0.2,31.68818097114563,8,32.889166474342346,1.0009855031967163,1.1114186999984668,1.9423482999991393,0.8309296000006725,True,32.889166474342346,1.1114186999984668,31.98111057281494,1.3415462999982992,31.969374418258667,1.7524869999979273,31.88818097114563,1.9423482999991393,32.23320245742798,2.320649900000717,32.10967779159546,2.5587758000037866
7,chocolate cake slice on porcelain plate with silver fork nearby,10,8,0,2,1,0,0,0,0,0,0.1388888888888889,0.0,0.1955555555555556,0.10316666666666667,20,31.288394331932068,0.2,31.08839433193207,8,32.228466868400574,0.9400725364685059,1.0104447999983677,1.9566333000038867,0.946188500005519,True,32.228466868400574,1.0104447999983677,31.85882568359375,1.3632928999941214,32.562366127967834,1.4795671999963815,31.288394331932068,1.9566333000038867,31.550151109695435,2.174722200004908,31.56621754169464,2.602729800004454
8,green backpack hanging from classroom chair under fluorescent lights quietly,10,8,0,3,1,2,1,1,0,0,0.3055555555555556,0.125,0.1955555555555556,0.20108333333333334,20,38.1231427192688,0.2,37.923142719268796,16,38.31065893173218,0.1875162124633789,1.742846000001009,2.41159830000106,0.668752300000051,True,34.33429002761841,1.1877534999948693,37.70328760147095,1.3502901000028942,38.31065893173218,1.742846000001009,38.1231427192688,2.41159830000106,38.25550675392151,2.175682000000961,38.46374750137329,2.3421270999970147
9,white sailboat drifting across calm lake during golden sunset alone,10,10,0,2,3,2,1,1,0,0,0.3055555555555556,0.0,0.20444444444444448,0.19794444444444445,20,34.44634974002838,0.2,34.24634974002838,8,35.17688512802124,0.7305353879928589,0.7215562999990652,1.140996999994968,0.41944069999590283,True,35.17688512802124,0.7215562999990652,34.408897161483765,0.7882712999999058,34.35342013835907,0.9271257000000332,34.44634974002838,1.140996999994968,34.317293763160706,1.3087127000035252,34.31285619735718,1.497025600001507
10,red sneakers placed on concrete floor beside gym lockers neatly,10,9,0,2,1,1,1,0,0,0,0.19444444444444445,0.0,0.20000000000000004,0.1436111111111111,20,35.04387438297272,0.2,34.843874382972714,16,34.86570715904236,-0.1781672239303589,1.794404599997506,3.119211600002018,1.3248070000045118,True,33.623361587524414,0.6228429999973741,34.33560132980347,0.7824466999954893,34.86570715904236,1.794404599997506,35.04387438297272,3.119211600002018,34.938305616378784,1.4330678000042099,34.92427170276642,1.656355799997982
