prompt,word_count,num_objects,num_relations,style_constraints,text_rendering,complexity,complexity_score,reason,selected_steps,selected_guidance_scale,selected_height,selected_width,model,source,cache_hit,prompt_tokens,completion_tokens,total_tokens
red apple resting on wooden table under soft studio light,10,2,2,1,False,low,0.2426666666666667,two objects with spatial relation and one lighting constraint,10,4.0,512,512,deepseek-v4-flash,deepseek_cache,True,244,61,305
golden retriever sitting on grass beside a white garden ball,10,3,2,1,False,medium,0.5926666666666667,three objects with spatial relations and a color constraint,20,4.5,512,512,deepseek-v4-flash,deepseek_api,False,247,61,308
blue sports car parked on empty road at bright noon,10,2,1,1,False,low,0.22933333333333336,two objects with one spatial relation and one lighting constraint,10,4.0,512,512,deepseek-v4-flash,deepseek_api,False,244,62,306
white ceramic mug steaming on kitchen counter near morning window,10,3,2,1,False,medium,0.5926666666666667,multiple objects with spatial relations and a lighting constraint,20,4.5,512,512,deepseek-v4-flash,deepseek_api,False,244,61,305
sunflower standing in clear glass vase beside folded linen napkin,10,3,2,0,False,low,0.2426666666666667,few objects with simple spatial relations and no style constraints,10,4.0,512,512,deepseek-v4-flash,deepseek_api,False,246,62,308
black bicycle leaning against brick wall after summer rain quietly,10,2,1,2,False,medium,0.5793333333333334,"two objects with a spatial relation and two style constraints (after summer rain, quietly)",20,4.5,512,512,deepseek-v4-flash,deepseek_api,False,244,68,312
chocolate cake slice on porcelain plate with silver fork nearby,10,3,2,0,False,low,0.2426666666666667,"three objects with simple spatial relations, no style or text",10,4.0,512,512,deepseek-v4-flash,deepseek_api,False,245,63,308
green backpack hanging from classroom chair under fluorescent lights quietly,10,2,2,1,False,medium,0.5926666666666667,two objects with spatial relation and lighting constraint,20,4.5,512,512,deepseek-v4-flash,deepseek_api,False,244,60,304
white sailboat drifting across calm lake during golden sunset alone,10,2,2,2,False,low,0.2426666666666667,"few objects and relations, simple scene with lighting constraint",10,4.0,512,512,deepseek-v4-flash,deepseek_api,False,245,62,307
red sneakers placed on concrete floor beside gym lockers neatly,10,3,2,1,False,medium,0.5926666666666667,multiple objects with spatial relations and a style constraint,20,4.5,512,512,deepseek-v4-flash,deepseek_api,False,246,61,307
"A robot chef cooks pasta in a modern kitchen, steam rising from the pan, stainless tools hanging nearby, warm cinematic lighting, and a curious child watching from the doorway quietly.",30,5,4,2,False,high,0.9380000000000001,"multiple objects with spatial and action relations, plus style constraints",28,5.0,512,512,deepseek-v4-flash,deepseek_api,False,269,63,332
"A cozy bedroom glows with warm sunset light through a large window, with folded blankets, potted plants, framed photos, and a small desk ready for reading beside tea and pencils.",30,7,4,2,False,medium,0.6380000000000001,"multiple objects with spatial relations and lighting style, but no text or complex interactions",20,4.5,512,512,deepseek-v4-flash,deepseek_api,False,271,67,338
"A futuristic train station has glass walls, hovering signs, morning sunlight, travelers waiting on silver benches, and a sleek maglev train arriving beside platform seven with soft blue interior lights.",30,6,4,4,True,high,0.9680000000000001,"multiple objects with spatial relations, style constraints, and text rendering",28,5.0,512,512,deepseek-v4-flash,deepseek_api,False,271,64,335
"A young astronaut plants a flag on a colorful alien planet, while crystal rocks, purple grass, two moons, and a tiny rover fill the background under pale green evening clouds.",30,6,4,2,False,high,0.9380000000000001,"multiple objects with spatial relations, action, and style constraints",28,5.0,512,512,deepseek-v4-flash,deepseek_api,False,269,63,332
"A vintage camera rests on a wooden desk surrounded by travel postcards, brass coins, a notebook, warm lamplight, and an open map of Europe beside a half packed canvas bag.",30,8,5,2,False,high,0.9380000000000001,"multiple objects with spatial relations, style constraints (vintage, warm lamplight), and no text",28,5.0,512,512,deepseek-v4-flash,deepseek_api,False,272,72,344
"A small cafe corner holds leafy plants, stacked books, a blue armchair, soft afternoon light, and a steaming cup of coffee beside a handwritten menu on the narrow wooden table.",30,7,5,2,True,high,0.9680000000000001,"multiple objects with spatial relations, lighting constraint, and handwritten text",28,5.0,512,512,deepseek-v4-flash,deepseek_api,False,270,64,334
"A watercolor painting shows a mountain village beside a river, with stone bridges, red roofs, distant mist, pine trees, and tiny people walking home under a pale evening sky together.",30,7,4,2,False,high,0.9380000000000001,"multiple objects, spatial relations, and style constraints",28,5.0,512,512,deepseek-v4-flash,deepseek_api,False,271,61,332
"A fantasy library rises around a spiral staircase, with floating candles, glowing books, brass ladders, velvet chairs, and a cat sleeping beneath the desk near a blue magical globe quietly.",30,7,4,2,False,high,0.9380000000000001,"multiple objects with spatial relations, fantasy style, and lighting constraints",28,5.0,512,512,deepseek-v4-flash,deepseek_api,False,271,64,335
"A rainy city street reflects shop windows and traffic lights, while pedestrians carry umbrellas past bicycles, food stalls, neon signs, and puddles glowing orange under a dark cinematic evening sky.",30,8,6,3,True,high,0.9680000000000001,"multiple objects with spatial and action relations, style constraints, and text rendering",28,5.0,512,512,deepseek-v4-flash,deepseek_api,False,274,66,340
"A wooden cabin sits in a snowy forest, smoke rising from the chimney, warm windows glowing, pine branches bending, and footprints crossing the yard toward a small frozen pond nearby.",30,6,5,2,False,high,0.9380000000000001,"multiple objects with spatial and action relations, plus lighting and material constraints",28,5.0,512,512,deepseek-v4-flash,deepseek_api,False,269,65,334
"A small robot holds a red umbrella beside a striped cat in front of a rainy bookstore, while the window sign says SANA, puddles reflect yellow lamps, two bicycles lean nearby, and a delivery drone hovers above the narrow street as shoppers wait under awnings during a gentle evening storm.",50,9,8,4,True,high,1.0,"many objects, multiple spatial and action relations, explicit style constraints, and text rendering required",28,5.0,512,512,deepseek-v4-flash,deepseek_api,False,295,69,364
"A cyberpunk street market glows at midnight with crowded food stalls, neon kanji signs, rain reflections, masked shoppers, steam vents, hovering taxis, and a musician playing beside a noodle cart, while a child points at a holographic dragon above the wet plaza near a flickering red vending machine tonight outside.",50,10,6,4,True,high,1.0,"many objects, spatial and action relations, multiple style constraints, and text rendering",28,5.0,512,512,deepseek-v4-flash,deepseek_api,False,300,67,367
"A medieval wizard teaches three students inside a crowded library, with glowing books floating above an oak table, candles dripping wax, a raven watching from a shelf, maps pinned to stone walls, and a silver telescope aimed at moonlight through the tall arched window behind a stack of scrolls tonight.",50,10,6,2,False,high,0.97,"many objects, multiple spatial and action relations, and specific lighting constraints",28,5.0,512,512,deepseek-v4-flash,deepseek_api,False,292,65,357
"A busy spaceport spreads beneath an orange sky, where two astronauts repair a rover beside a cargo ship, engineers carry tools, fuel pipes cross the landing pad, warning lights blink, and tourists photograph distant planets from behind glass while security robots guide them toward a silver observation balcony above calmly.",50,9,8,2,False,high,0.97,"multiple objects with many spatial and action relations, plus style constraints (orange sky, silver balcony) and calm mood",28,5.0,512,512,deepseek-v4-flash,deepseek_api,False,291,74,365
