prompt_index,prompt,word_count,content_word_count,comma_count,llm_object_count,llm_attribute_count,llm_relation_count,llm_spatial_relation_count,llm_action_count,llm_style_constraint_count,llm_text_rendering_flag,llm_scene_density_score,llm_rare_concept_score,llm_estimated_difficulty,llm_difficulty_label,llm_reason,llm_model,source,cache_hit,prompt_tokens,completion_tokens,total_tokens
1,red apple resting on wooden table under soft studio light,10,8,0,2,3,2,2,0,1,0,0.3,0.0,0.3,low,two common objects with spatial relations and one lighting constraint,deepseek-v4-flash,deepseek_api,False,438,127,565
2,golden retriever sitting on grass beside a white garden ball,10,8,0,3,3,2,1,1,0,0,0.3,0.0,0.3,low,common objects with simple spatial relation and action,deepseek-v4-flash,deepseek_api,False,441,125,566
3,blue sports car parked on empty road at bright noon,10,8,0,2,4,1,1,0,1,0,0.3,0.0,0.3,low,two common objects with one spatial relation and simple attributes,deepseek-v4-flash,deepseek_api,False,438,127,565
4,white ceramic mug steaming on kitchen counter near morning window,10,8,0,4,4,2,2,1,1,0,0.4,0.0,0.3,low,common objects with simple spatial relations and one action,deepseek-v4-flash,deepseek_api,False,438,126,564
5,sunflower standing in clear glass vase beside folded linen napkin,10,9,0,3,4,2,1,0,0,0,0.4,0.0,0.3,low,three common objects with simple spatial relation and clear attributes,deepseek-v4-flash,deepseek_api,False,440,127,567
6,black bicycle leaning against brick wall after summer rain quietly,10,10,0,3,4,2,1,1,2,0,0.4,0.1,0.35,low,common objects with simple spatial relation and atmospheric style,deepseek-v4-flash,deepseek_api,False,438,126,564
7,chocolate cake slice on porcelain plate with silver fork nearby,10,8,0,3,3,2,2,0,0,0,0.3,0.0,0.2,low,common objects with simple spatial relations,deepseek-v4-flash,deepseek_api,False,439,123,562
8,green backpack hanging from classroom chair under fluorescent lights quietly,10,8,0,3,3,2,2,0,1,0,0.4,0.1,0.35,low,three common objects with spatial relations and one lighting constraint,deepseek-v4-flash,deepseek_api,False,438,127,565
9,white sailboat drifting across calm lake during golden sunset alone,10,10,0,3,4,2,1,1,2,0,0.3,0.0,0.3,low,few common objects with simple attributes and relations,deepseek-v4-flash,deepseek_api,False,439,125,564
10,red sneakers placed on concrete floor beside gym lockers neatly,10,9,0,3,3,2,1,0,1,0,0.4,0.0,0.3,low,three common objects with simple spatial relation and one attribute,deepseek-v4-flash,deepseek_api,False,440,127,567
