prompt_index,prompt,selected_steps,guidance_scale,seed,height,width,elapsed_seconds,peak_vram_gb,image_path,is_first_prompt,word_count,content_word_count,comma_count,object_count,attribute_count,relation_count,spatial_relation_count,action_count,style_constraint_count,text_rendering_flag,scene_density_score,rare_concept_score,lexical_complexity_score,rule_complexity_score,clip_model_id,clip_cosine,clip_score
1,red apple resting on wooden table under soft studio light,8,4.5,43,512,512,4.0067232999936095,6.979499816894531,outputs\day6_calibration_grid\01_s08_red_apple_resting_on_wooden_table_under_soft_studio_light.png,True,10,8,0,2,3,1,1,0,2,0,0.4166666666666667,0.0,0.1955555555555556,0.2642777777777778,openai/clip-vit-base-patch32,0.32380595803260803,32.3805958032608
1,red apple resting on wooden table under soft studio light,12,4.5,43,512,512,1.5162320999952499,6.979499816894531,outputs\day6_calibration_grid\01_s12_red_apple_resting_on_wooden_table_under_soft_studio_light.png,True,10,8,0,2,3,1,1,0,2,0,0.4166666666666667,0.0,0.1955555555555556,0.2642777777777778,openai/clip-vit-base-patch32,0.32732972502708435,32.732972502708435
1,red apple resting on wooden table under soft studio light,16,4.5,43,512,512,1.7249726000009105,6.979499816894531,outputs\day6_calibration_grid\01_s16_red_apple_resting_on_wooden_table_under_soft_studio_light.png,True,10,8,0,2,3,1,1,0,2,0,0.4166666666666667,0.0,0.1955555555555556,0.2642777777777778,openai/clip-vit-base-patch32,0.32840096950531006,32.840096950531006
1,red apple resting on wooden table under soft studio light,20,4.5,43,512,512,2.0615652999986196,6.979499816894531,outputs\day6_calibration_grid\01_s20_red_apple_resting_on_wooden_table_under_soft_studio_light.png,True,10,8,0,2,3,1,1,0,2,0,0.4166666666666667,0.0,0.1955555555555556,0.2642777777777778,openai/clip-vit-base-patch32,0.3294485807418823,32.94485807418823
1,red apple resting on wooden table under soft studio light,24,4.5,43,512,512,2.4033401000051526,6.979499816894531,outputs\day6_calibration_grid\01_s24_red_apple_resting_on_wooden_table_under_soft_studio_light.png,True,10,8,0,2,3,1,1,0,2,0,0.4166666666666667,0.0,0.1955555555555556,0.2642777777777778,openai/clip-vit-base-patch32,0.32928627729415894,32.928627729415894
1,red apple resting on wooden table under soft studio light,28,4.5,43,512,512,2.713299700000789,6.979499816894531,outputs\day6_calibration_grid\01_s28_red_apple_resting_on_wooden_table_under_soft_studio_light.png,True,10,8,0,2,3,1,1,0,2,0,0.4166666666666667,0.0,0.1955555555555556,0.2642777777777778,openai/clip-vit-base-patch32,0.32952794432640076,32.952794432640076
2,golden retriever sitting on grass beside a white garden ball,8,4.5,44,512,512,0.9640432000014698,6.979499816894531,outputs\day6_calibration_grid\02_s08_golden_retriever_sitting_on_grass_beside_a_white_garden_ball.png,False,10,8,0,2,2,2,1,1,0,0,0.2777777777777778,0.0,0.1955555555555556,0.18788888888888888,openai/clip-vit-base-patch32,0.3746127486228943,37.46127486228943
2,golden retriever sitting on grass beside a white garden ball,12,4.5,44,512,512,1.3501570000007632,6.979499816894531,outputs\day6_calibration_grid\02_s12_golden_retriever_sitting_on_grass_beside_a_white_garden_ball.png,False,10,8,0,2,2,2,1,1,0,0,0.2777777777777778,0.0,0.1955555555555556,0.18788888888888888,openai/clip-vit-base-patch32,0.3735942244529724,37.35942244529724
2,golden retriever sitting on grass beside a white garden ball,16,4.5,44,512,512,1.5844159000043874,6.979499816894531,outputs\day6_calibration_grid\02_s16_golden_retriever_sitting_on_grass_beside_a_white_garden_ball.png,False,10,8,0,2,2,2,1,1,0,0,0.2777777777777778,0.0,0.1955555555555556,0.18788888888888888,openai/clip-vit-base-patch32,0.3759545683860779,37.59545683860779
2,golden retriever sitting on grass beside a white garden ball,20,4.5,44,512,512,1.8161076999967918,6.979499816894531,outputs\day6_calibration_grid\02_s20_golden_retriever_sitting_on_grass_beside_a_white_garden_ball.png,False,10,8,0,2,2,2,1,1,0,0,0.2777777777777778,0.0,0.1955555555555556,0.18788888888888888,openai/clip-vit-base-patch32,0.3724573254585266,37.24573254585266
